scope,operator,t_bucket,l_bucket,num_units,avg_stoc_len,avg_error,metric_mean,metric_std,counts,fractions,thresholds,level_mean_error
operator_default,av,-1,-1,22020096,31.99992443266369,0.00197373959235847,0.31019577383995056,0.2668689787387848,"32,1166,32267,397081,1273633,4188920,7596673,8530324","0.000001,0.000053,0.001465,0.018033,0.057840,0.190232,0.344988,0.387388","1.000000,1.000000,1.000000,0.998976,0.855682,0.405682,0.168443","0.000226,0.000188,0.000360,0.000570,0.001182,0.001739,0.003274,0.008560"
operator_default,input_proj,-1,-1,82944,32.00038580246913,0.015848029404878616,0.27728718519210815,0.1637672781944275,"0,0,0,0,57,3793,75189,3905","0.000000,0.000000,0.000000,0.000000,0.000687,0.045730,0.906503,0.047080","1.000000,1.000000,1.000000,1.000000,0.915837,0.622204,0.073523","0.000729,0.000884,0.001601,0.002577,0.005112,0.008187,0.016152,0.047788"
operator_default,mlp_fc1,-1,-1,79872,31.999599358974358,0.00421688100323081,0.43242332339286804,0.2104739397764206,"0,0,0,0,0,9089,61692,9091","0.000000,0.000000,0.000000,0.000000,0.000000,0.113795,0.772386,0.113820","1.000000,1.000000,1.000000,1.000000,1.000000,0.715439,0.172870","0.000278,0.000337,0.000521,0.000783,0.001440,0.002314,0.004467,0.013881"
operator_default,mlp_fc2,-1,-1,79872,32.00040064102564,0.011200943030416965,0.2627233862876892,0.16211803257465363,"0,0,0,0,0,15610,48654,15608","0.000000,0.000000,0.000000,0.000000,0.000000,0.195438,0.609150,0.195413","1.000000,1.000000,1.000000,1.000000,1.000000,0.381541,0.127361","0.000440,0.000597,0.001145,0.001920,0.003868,0.006450,0.012849,0.038986"
operator_default,proj,-1,-1,86016,32.0,0.007009988650679588,0.2882193624973297,0.16833528876304626,"0,0,0,0,20,11254,63448,11294","0.000000,0.000000,0.000000,0.000000,0.000233,0.130836,0.737630,0.131301","1.000000,1.000000,1.000000,1.000000,0.995618,0.474090,0.125528","0.000226,0.000345,0.000650,0.001065,0.002212,0.003604,0.007427,0.023748"
operator_default,qk,-1,-1,2688,32.00595238095238,0.014017300680279732,0.4203612804412842,0.3005707859992981,"0,0,0,14,64,326,1775,509","0.000000,0.000000,0.000000,0.005208,0.023810,0.121280,0.660342,0.189360","1.000000,1.000000,1.000000,1.000000,1.000000,0.801528,0.123534","0.001050,0.000876,0.001723,0.002742,0.005476,0.008595,0.016829,0.046817"
bucket,av,0,0,1835008,31.999869210379465,0.0026009848807007074,0.374470978975296,0.3117486238479614,"6,49,3173,40581,80738,345275,676484,688702","0.000003,0.000027,0.001729,0.022115,0.043999,0.188160,0.368655,0.375313","1.000000,1.000000,1.000000,0.997432,0.987731,0.538462,0.192184","0.000284,0.000205,0.000432,0.000693,0.001574,0.002233,0.004272,0.011348"
bucket,av,0,1,1835008,31.999886648995535,0.004153185524046421,0.25732895731925964,0.22958146035671234,"0,0,20,2448,44043,340283,1009920,438294","0.000000,0.000000,0.000011,0.001334,0.024002,0.185440,0.550363,0.238851","1.000000,1.000000,1.000000,1.000000,0.981602,0.375246,0.093638","0.000358,0.000286,0.000516,0.000844,0.001746,0.002635,0.005000,0.013002"
bucket,av,0,2,1835008,31.999860491071427,0.004071487579494715,0.31631454825401306,0.30202940106391907,"0,0,117,7490,87391,353520,827510,558980","0.000000,0.000000,0.000064,0.004082,0.047624,0.192653,0.450957,0.304620","1.000000,1.000000,1.000000,1.000000,0.996952,0.438940,0.112598","0.000460,0.000366,0.000620,0.000995,0.001908,0.002915,0.005327,0.013797"
bucket,av,0,3,1835008,31.999886648995535,0.003541652113199234,0.30017390847206116,0.3240832984447479,"0,1,504,16472,117064,327965,741974,631028","0.000000,0.000001,0.000275,0.008977,0.063795,0.178727,0.404344,0.343883","1.000000,1.000000,1.000000,1.000000,0.997470,0.389946,0.096639","0.000447,0.000340,0.000582,0.000933,0.001769,0.002734,0.005010,0.013237"
